Nombre   -   URL
Brilliance V3 Gl   -   https://auto.mercadolibre.cl/MLC-519446776-brilliance-v3-_JM#position=1&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
Suzuki Swift Ga 1.2 Swift Ga 1.2   -   https://auto.mercadolibre.cl/MLC-519629484-suzuki-swift-ga-12-swift-ga-12-_JM#position=2&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
Mitsubishi L200katana Katana 2.5   -   https://auto.mercadolibre.cl/MLC-518398418-mitsubishi-l200katana-mitsubishi-l200-_JM#position=3&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
Mitsubishi Montero Sport Full Cuero A/c   -   https://auto.mercadolibre.cl/MLC-519306514-mitsubishi-montero-sport-full-cuero-ac-_JM#position=4&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
Jeep Gran Cherokee Laredo 4 X 4   -   https://auto.mercadolibre.cl/MLC-519537610-jeep-gran-cherokee-laredo-4-x-4-_JM#position=5&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
Nissan Platina Automático Automático   -   https://auto.mercadolibre.cl/MLC-518913577-nissan-platina-automatico-automatico-_JM#position=6&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
Mitsubishi Katana L200 Katana 2.5diesel 4x4   -   https://auto.mercadolibre.cl/MLC-516844156-mitsubishi-katana-l200-katana-25diesel-4x4-_JM#position=7&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
Hyundai Elantra 1.6   -   https://auto.mercadolibre.cl/MLC-516767169-hyundai-elantra-16-ano-2015-creditos-y-financiamentos-_JM#position=8&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
Toyota 4 Runner Desarme 4x4 Limited   -   https://auto.mercadolibre.cl/MLC-519641016-toyota-4-runner-desarme-4x4-limited-_JM#position=9&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
Land Rover Land Rover Santana Serie Iii, Año 80   -   https://auto.mercadolibre.cl/MLC-519516548-land-rover-land-rover-santana-serie-iii-ano-80-_JM#position=10&type=item&tracking_id=62379b5d-19db-4c88-935c-c249fd36dcb8
